search_keyword,qc,인테리어검색,"상품검색(인테리어도 중요하지만 특정 상품을 궁극적으로 원하는 경우)",불분명(노하우 등)
마멜스로,7,,1,
옷봉,7,,1,
발수건,65,,1,
천장후크,50,,1,
핑크페인트,33,1,,
베란다 식탁,10,,1,
#조명화장대,238,,1,
공부의자,1003,,1,
화장품서랍,1,,1,
스타우브,1602,,1,
의정부,119,1,,
냉장고장리폼,161,1,,
명품가구,33,,,1
실내 자전거,9,,1,
거실침실,167,,1,
흰파 캠핑의자,1,,1,
거울 식물,17,1,,
동서가구 드레스룸,15,,1,
셀프중문,39,1,,
속옷걸이,6,,1,
아이렛암막,1,,1,
욕실 핸드폰,6,,1,상품명이 기억안나서 묘사를 한 느낌의 검색
알루미늄채반,5,,1,
서브주방,1,1,,
첵장,3,1,1,둘다 가능할듯
pc협탁,7,,1,
카페식탁,10,,1,
펜던트조명,650,,1,
모노 책장,8,,1,
일회용 수세미,6,,1,
삼익큰장,1,,1,
룰루홈,2,,1,
논슬립,2,,1,
무광타일,21,,1,
서랍장식장,22,,1,
소분용기,20,,1,
리퍼청소기,6,,1,
맥키보드,15,,1,
현관자동차키,45,,1,
쌀보관,13,,,1
유화,457,1,,
올블랙,709,1,,
델타 게이밍 책상 1600,32,,1,
퀸 매트리스,62,,1,
한샘샘책상,28,,1,
모빌,3855,,1,
건조기 섬유유연제,6,,1,
주방수납장프렌치,112,,1,
시골감성주택,6,1,,
화장실 식물,77,,,
탁자 캘린더,10,,,
장난감정리,1171,,,
보조 싱크대,48,,,
에스닉커튼,353,,,
송월타올40수,8,,,
design2x,1,,,
화장실리폼,127,,,
5단서랍장,1121,,,
장흥,12,,,
t501,1,,,
러셀홉스 착즙기,1,,,
엘리사3등,7,,,
오픈침대,65,,,
2단 데스크 선반,7,,,
빨래바구시,1,,,
현관우풍,29,,,
hay 테이블,35,,,
테이블트레이,11,,,
골드웨건,18,,,
진그레이,82,,,
강앚ㄱ,1,,,
화이트방,1,,,
사각종지그릇,15,,,
lp,118,,,
긴 커피테이블,157,,,
키친렉,479,,,
좌식접이식테이블,15,,,
칸막이커튼,70,,,
칫솔 받침대,6,,,
낮은 파티션,167,,,
버터색 시트지,25,,,
미니쇼케이스냉장고,46,,,
체중계,125,,,
건조매트,78,,,
애플워치7,1,,,
주전자,1002,,,
오브제 오븐,205,,,
좌식노트북책상,6,,,
덧신,5,,,
그레이서재,141,,,
하수구냄새차단,208,,,
1층 베란다 벌레,2,,,
포쉐린타일,40,,,
챙상선반,1,,,
엘지모던그레이창호,4,,,
원목 빨래통,95,,,
양개형중문,12,,,
스텔라1등,1,,,
칼블럭,171,,,
길이조절바구니,5,,,